"city","state","slug","growth","densityMi","areaMi","lng","lat","population","pop2026","pop2025","pop2020","pop2010","type","rank"
"Smithtown","New York","new-york/smithtown",0.00149,2176,53.75,-73.1773,40.9188,116940,116940,116584,115898,117801,"Town",288
"Waterbury","Connecticut","connecticut/waterbury",0.00438,4094,28.557,-73.0367,41.5585,116917,116917,116412,113889,110366,"City",289
"Greeley","Colorado","colorado/greeley",0.01128,2310,50.611,-104.771,40.414,116900,116900,115631,109289,92889,"City",290
"Rio Rancho","New Mexico","new-mexico/rio-rancho",0.01847,1128,103.361,-106.699,35.2851,116565,116565,114544,104441,87521,"City",291
"Clearwater","Florida","florida/clearwater",-0.00114,4453,26.175,-82.7713,27.9794,116545,116545,116678,117343,107685,"City",292
"West Jordan","Utah","utah/west-jordan",-0.00074,3576,32.586,-112.001,40.6027,116515,116515,116601,117034,103712,"City",293
"Riverview","Florida","florida/riverview",0,2517,46.181,-82.3045,27.8243,116251,116251,113426,0,71050,"CDP",294
"Concord","North Carolina","north-carolina/concord",0.01708,1791,64.838,-80.6355,35.3921,116136,116136,114265,104913,79066,"City",295
"Provo","Utah","utah/provo",0.00081,2761,41.891,-111.645,40.2453,115666,115666,115572,115104,112488,"City",296
"Palm Coast","Florida","florida/palm-coast",0.04259,1196,96.343,-81.2426,29.5368,115233,115233,110981,89721,75180,"City",297
"Lansing","Michigan","michigan/lansing",0.00392,2927,39.367,-84.5609,42.7143,115226,115226,114781,112555,114297,"City",298
"Tyler","Texas","texas/tyler",0.01353,1993,57.79,-95.3059,32.3173,115194,115194,113706,106269,96900,"City",299
"Davie","Florida","florida/davie",0.01371,3297,34.894,-80.283,26.0792,115062,115062,113557,106032,91992,"Town",300
"Richmond","California","california/richmond",-0.00178,3826,30.042,-122.361,37.9523,114941,114941,115147,116177,103701,"City",301
"Elgin","Illinois","illinois/elgin",0.00012,3008,38.143,-88.3257,42.039,114729,114729,114715,114645,108188,"City",302
"Westminster","Colorado","colorado/westminster",-0.00292,3625,31.618,-105.062,39.8801,114626,114626,114964,116653,106114,"City",303
"Evansville","Indiana","indiana/evansville",-0.00427,2416,47.355,-87.5347,37.9877,114404,114404,114899,117377,117429,"City",304
"Everett","Washington","washington/everett",0.00472,3395,33.601,-122.19,47.9654,114070,114070,113540,110892,103019,"City",305
"South Fulton","Georgia","georgia/south-fulton",0.00851,1225,92.954,-84.5834,33.6357,113884,113884,112943,108241,0,"City",306
"Temecula","California","california/temecula",0.00526,3056,37.177,-117.132,33.4931,113604,113604,113017,110084,100097,"City",307
"Murrieta","California","california/murrieta",0.00312,3199,35.398,-117.191,33.5732,113237,113237,112888,111142,103466,"City",308
"Edison","New Jersey","new-jersey/edison-township",0.00935,3764,30.08,-74.3488,40.5044,113208,113208,111605,107061,99967,"Township",309
"Carlsbad","California","california/carlsbad",-0.00297,2986,37.812,-117.284,33.1293,112897,112897,113236,114930,105328,"City",310
"Sparks","Nevada","nevada/sparks",0.00596,3092,36.493,-119.715,39.5743,112837,112837,112178,108886,90264,"City",311
"Edinburg","Texas","texas/edinburg",0.01885,2389,47.187,-98.1535,26.3184,112716,112716,110724,100767,77100,"City",312
"Springfield","Illinois","illinois/springfield",-0.00314,1832,61.261,-89.6446,39.7911,112236,112236,112592,114375,116250,"City",313
"Santa Maria","California","california/santa-maria",0.00353,4916,22.81,-120.444,34.9331,112128,112128,111737,109782,99553,"City",314
"Hillsboro","Oregon","oregon/hillsboro",0.00745,4234,26.443,-122.935,45.5268,111963,111963,111150,107084,91611,"City",315
"Beaumont","Texas","texas/beaumont",-0.00437,1362,82.139,-94.1453,30.0849,111900,111900,112396,114879,118296,"City",316
"East Los Angeles","California","california/east-los-angeles",0,15011,7.453,-118.169,34.0315,111876,111876,112789,0,126496,"CDP",317
"St. George","Utah","utah/st-george",0.02503,1439,77.403,-113.577,37.077,111407,111407,108847,96050,72897,"City",318
"Peoria","Illinois","illinois/peoria",-0.00278,2308,48.125,-89.6172,40.7516,111073,111073,111384,112942,115007,"City",319
"Pueblo","Colorado","colorado/pueblo",-0.00167,1961,56.489,-104.611,38.2692,110794,110794,110980,111910,106595,"City",320
"San Tan Valley","Arizona","arizona/san-tan-valley",0,1461,75.793,-111.563,33.1786,110749,110749,108909,0,81321,"CDP",321
"Spokane Valley","Washington","washington/spokane-valley",0.01085,2932,37.72,-117.233,47.6634,110577,110577,109422,103647,89755,"City",322
"Bend","Oregon","oregon/bend",0.01738,3140,35.204,-121.308,44.0567,110545,110545,108735,99687,76639,"City",323
"Gresham","Oregon","oregon/gresham",-0.00662,4678,23.519,-122.442,45.5023,110015,110015,110761,114490,105594,"City",324
